ID	CELL_LINE	DISEASE	DISEASE_NAME
CCLE_828 	SNU520	STAD	Stomach adenocarcinoma
CCLE_829 	MeWo	SKCM	Skin Cutaneous Melanoma
CCLE_830 	NCIH661	LUSC	Lung squamous cell carcinoma
CCLE_831 	SW1710	BLCA	Bladder Urothelial Carcinoma
CCLE_832 	Hs618T	LUSC	Lung squamous cell carcinoma
CCLE_833 	HuCCT1	LIHC	Liver hepatocellular carcinoma
CCLE_834 	OPM2	MM	Multiple Myeloma Plasma cell leukemia
CCLE_835 	NCIH2126	LUSC	Lung squamous cell carcinoma
CCLE_836 	Hs852T	SKCM	Skin Cutaneous Melanoma
CCLE_837 	EKVXv1	STAD	Stomach adenocarcinoma
CCLE_838 	SW837	COAD	Colon adenocarcinoma
CCLE_839 	NCIH1385	LUSC	Lung squamous cell carcinoma
CCLE_840 	EJM	MM	Multiple Myeloma Plasma cell leukemia
CCLE_841 	PE/CAPJ49	HNSC	Head and Neck squamous cell carcinoma
CCLE_842 	Hs821T	SARC	Sarcoma
CCLE_843 	MDST8	COAD	Colon adenocarcinoma
CCLE_844 	JeKo1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_845 	set-02	LCLL	Chronic Lymphocytic Leukemia
CCLE_846 	RT112	BLCA	Bladder Urothelial Carcinoma
CCLE_847 	KNS42	LGG	Brain Lower Grade Glioma
CCLE_848 	RERFLCKJ	LUSC	Lung squamous cell carcinoma
CCLE_849 	DANG	PAAD	Pancreatic adenocarcinoma
CCLE_850 	HCC1187	BRCA	Breast invasive carcinoma
CCLE_851 	Pfeiffer	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_852 	Hs729	SARC	Sarcoma
CCLE_853 	SW1088	LGG	Brain Lower Grade Glioma
CCLE_854 	KMRC1	KIRC	Kidney renal clear cell carcinoma
CCLE_855 	SUPT11	LCLL	Chronic Lymphocytic Leukemia
CCLE_856 	COLO800	SKCM	Skin Cutaneous Melanoma
CCLE_857 	KYSE510	ESCA	Esophageal carcinoma
CCLE_858 	TUHR14TKB	KIRC	Kidney renal clear cell carcinoma
CCLE_859 	SNUC1	COAD	Colon adenocarcinoma
CCLE_860 	GDM1	LCLL	Chronic Lymphocytic Leukemia
CCLE_861 	COLO668	LUSC	Lung squamous cell carcinoma
CCLE_862 	SKES1	SARC	Sarcoma
CCLE_863 	GRANTA519	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_864 	NCIH508	COAD	Colon adenocarcinoma
CCLE_865 	NCIH1355	LUSC	Lung squamous cell carcinoma
CCLE_866 	TALL1	LCLL	Chronic Lymphocytic Leukemia
CCLE_867 	5637	BLCA	Bladder Urothelial Carcinoma
CCLE_868 	HuNS1	MM	Multiple Myeloma Plasma cell leukemia
CCLE_869 	SNU719	STAD	Stomach adenocarcinoma
CCLE_870 	HOP92	LUSC	Lung squamous cell carcinoma
CCLE_871 	LN229	LGG	Brain Lower Grade Glioma
CCLE_872 	MDAMB361	BRCA	Breast invasive carcinoma
CCLE_873 	Hs939T	SKCM	Skin Cutaneous Melanoma
CCLE_874 	MJ	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_875 	CL40	COAD	Colon adenocarcinoma
CCLE_876 	OVCAR4	OV	Ovarian serous cystadenocarcinoma
CCLE_877 	NCIH520	LUSC	Lung squamous cell carcinoma
CCLE_878 	HCC1569	BRCA	Breast invasive carcinoma
CCLE_879 	SNU410	PAAD	Pancreatic adenocarcinoma
CCLE_880 	MC116	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_881 	JHH5	LIHC	Liver hepatocellular carcinoma
CCLE_882 	RD	SARC	Sarcoma
CCLE_883 	SNU387	LIHC	Liver hepatocellular carcinoma
CCLE_884 	KE97	STAD	Stomach adenocarcinoma
CCLE_885 	BHT101	THCA	Thyroid carcinoma
CCLE_886 	SW780	BLCA	Bladder Urothelial Carcinoma
CCLE_887 	TCCSUP	BLCA	Bladder Urothelial Carcinoma
CCLE_888 	NCIH1623	LUSC	Lung squamous cell carcinoma
CCLE_889 	NCIH747	COAD	Colon adenocarcinoma
CCLE_890 	Hs742T	BRCA	Breast invasive carcinoma
CCLE_891 	WM2664	SKCM	Skin Cutaneous Melanoma
CCLE_892 	NCIH23	LUSC	Lung squamous cell carcinoma
CCLE_893 	BICR56	HNSC	Head and Neck squamous cell carcinoma
CCLE_894 	Hs600T	SKCM	Skin Cutaneous Melanoma
CCLE_895 	COLO741	COAD	Colon adenocarcinoma
CCLE_896 	KYSE410	ESCA	Esophageal carcinoma
CCLE_897 	COLO684	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_898 	HPBALL	LCLL	Chronic Lymphocytic Leukemia
CCLE_899 	KURAMOCHI	OV	Ovarian serous cystadenocarcinoma
CCLE_900 	TC71	SARC	Sarcoma
CCLE_901 	KYSE450	ESCA	Esophageal carcinoma
CCLE_902 	SNU1077	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_903 	T47D	BRCA	Breast invasive carcinoma
CCLE_904 	COV318	OV	Ovarian serous cystadenocarcinoma
CCLE_905 	Hs766T	PAAD	Pancreatic adenocarcinoma
CCLE_906 	RDES	SARC	Sarcoma
CCLE_907 	Hs281T	BRCA	Breast invasive carcinoma
CCLE_908 	COLO783	SKCM	Skin Cutaneous Melanoma
CCLE_909 	KLE	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_910 	NB4	LCLL	Chronic Lymphocytic Leukemia
CCLE_911 	Panc1005	PAAD	Pancreatic adenocarcinoma
CCLE_912 	NCIH2087	LUSC	Lung squamous cell carcinoma
CCLE_913 	LC1F	LUSC	Lung squamous cell carcinoma
CCLE_914 	NCIH1092	LUSC	Lung squamous cell carcinoma
CCLE_915 	NCIH854	LUSC	Lung squamous cell carcinoma
CCLE_916 	Mino	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_917 	HT144	SKCM	Skin Cutaneous Melanoma
CCLE_918 	M059K	LGG	Brain Lower Grade Glioma
CCLE_919 	Hs343T	BRCA	Breast invasive carcinoma
CCLE_920 	NCIH1793	LUSC	Lung squamous cell carcinoma
CCLE_921 	HCC1833	LUSC	Lung squamous cell carcinoma
CCLE_922 	PE/CAPJ34(cloneC12)	HNSC	Head and Neck squamous cell carcinoma
CCLE_923 	OE19	ESCA	Esophageal carcinoma
CCLE_924 	KNS60	LGG	Brain Lower Grade Glioma
CCLE_925 	MDAMB157	BRCA	Breast invasive carcinoma
CCLE_926 	HEC151	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_927 	NCIH69	LUSC	Lung squamous cell carcinoma
CCLE_928 	SKMEL3	SKCM	Skin Cutaneous Melanoma
CCLE_929 	SKNBE(2)	LGG	Brain Lower Grade Glioma
CCLE_930 	GA10	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_931 	SNU869	LIHC	Liver hepatocellular carcinoma
CCLE_932 	SW403	COAD	Colon adenocarcinoma
CCLE_933 	CW2	COAD	Colon adenocarcinoma
CCLE_934 	DOHH2	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_935 	NCIH441	LUSC	Lung squamous cell carcinoma
